N,l_grad,trial,seed,FE,IE
1600,2,1,13807,1.022e-02,1.328e-03
1600,3,1,13807,1.022e-02,1.179e-03
1600,4,1,13807,1.022e-02,1.615e-03
1600,5,1,13807,1.022e-02,1.876e-03
1600,2,2,66053,8.704e-03,7.115e-04
1600,3,2,66053,8.704e-03,7.070e-04
1600,4,2,66053,8.704e-03,7.209e-04
1600,5,2,66053,8.704e-03,1.698e-03
1600,2,3,74963,7.584e-03,9.703e-04
1600,3,3,74963,7.584e-03,3.603e-04
1600,4,3,74963,7.584e-03,4.267e-04
1600,5,3,74963,7.584e-03,1.525e-03
1600,2,4,15185,8.869e-03,1.025e-03
1600,3,4,15185,8.869e-03,1.106e-03
1600,4,4,15185,8.869e-03,1.936e-03
1600,5,4,15185,8.869e-03,2.049e-03
3200,2,1,10585,2.464e-03,4.817e-04
3200,3,1,10585,2.464e-03,5.797e-04
3200,4,1,10585,2.464e-03,6.812e-04
3200,5,1,10585,2.464e-03,5.766e-04
3200,2,2,48781,2.438e-03,4.343e-04
3200,3,2,48781,2.438e-03,1.724e-04
3200,4,2,48781,2.438e-03,1.625e-04
3200,5,2,48781,2.438e-03,2.777e-04
3200,2,3,49297,2.404e-03,4.163e-04
3200,3,3,49297,2.404e-03,2.511e-04
3200,4,3,49297,2.404e-03,1.707e-04
3200,5,3,49297,2.404e-03,2.939e-04
3200,2,4,92519,2.783e-03,6.727e-04
3200,3,4,92519,2.783e-03,2.883e-04
3200,4,4,92519,2.783e-03,2.759e-04
3200,5,4,92519,2.783e-03,2.162e-04
6400,2,1,5562,7.215e-04,1.736e-04
6400,3,1,5562,7.215e-04,1.026e-04
6400,4,1,5562,7.215e-04,1.182e-04
6400,5,1,5562,7.215e-04,8.670e-05
6400,2,2,57001,9.868e-04,2.012e-04
6400,3,2,57001,9.868e-04,2.636e-04
6400,4,2,57001,9.868e-04,1.960e-04
6400,5,2,57001,9.868e-04,1.993e-04
6400,2,3,22775,6.374e-04,1.379e-04
6400,3,3,22775,6.374e-04,6.751e-05
6400,4,3,22775,6.374e-04,2.982e-05
6400,5,3,22775,6.374e-04,3.666e-05
6400,2,4,29774,7.793e-04,1.267e-04
6400,3,4,29774,7.793e-04,7.643e-05
6400,4,4,29774,7.793e-04,2.885e-05
6400,5,4,29774,7.793e-04,8.724e-05
12800,2,1,47005,2.010e-04,6.099e-05
12800,3,1,47005,2.010e-04,2.357e-05
12800,4,1,47005,2.010e-04,9.556e-06
12800,5,1,47005,2.010e-04,1.325e-05
12800,2,2,80904,1.928e-04,8.237e-05
12800,3,2,80904,1.928e-04,2.259e-05
12800,4,2,80904,1.928e-04,2.981e-05
12800,5,2,80904,1.928e-04,1.989e-05
12800,2,3,25119,1.628e-04,7.724e-05
12800,3,3,25119,1.628e-04,2.558e-05
12800,4,3,25119,1.628e-04,1.260e-05
12800,5,3,25119,1.628e-04,1.851e-05
12800,2,4,70938,2.204e-04,8.161e-05
12800,3,4,70938,2.204e-04,1.650e-05
12800,4,4,70938,2.204e-04,1.208e-05
12800,5,4,70938,2.204e-04,4.367e-05
25600,2,1,35097,6.253e-05,3.898e-05
25600,3,1,35097,6.253e-05,1.149e-05
25600,4,1,35097,6.253e-05,4.302e-06
25600,5,1,35097,6.253e-05,1.482e-05
25600,2,2,27317,7.271e-05,4.932e-05
25600,3,2,27317,7.271e-05,5.406e-05
25600,4,2,27317,7.271e-05,6.278e-06
25600,5,2,27317,7.271e-05,3.365e-06
25600,2,3,53352,4.807e-05,3.004e-05
25600,3,3,53352,4.807e-05,8.578e-06
25600,4,3,53352,4.807e-05,1.744e-06
25600,5,3,53352,4.807e-05,2.084e-06
25600,2,4,82327,5.824e-05,4.577e-05
25600,3,4,82327,5.824e-05,3.310e-06
25600,4,4,82327,5.824e-05,1.760e-06
25600,5,4,82327,5.824e-05,1.632e-06
